item_id,order_id,product_id,quantity,unit_price,discount_percent
1,O00039,P0385,0,1671.11,21
2,O00497,P0143,0,2583.95,35
3,O00330,P0194,0,4103.81,5
4,O00236,P0228,0,2295.68,31
5,O00229,P0162,0,4905.29,47
6,O00335,P0010,0,2076.85,2
7,O00286,P0282,0,4146.95,50
8,O00310,P0494,0,3223.94,32
9,O00288,P0106,0,4756.74,23
10,O00423,P0028,0,4237.16,21
11,O00287,P0393,0,3039.76,45
12,O00337,P0187,0,658.71,48
13,O00338,P0114,0,1772.65,40
14,O00494,P0410,0,2783.68,23
15,O00360,P0055,0,4494.7,31
16,O00072,P0421,0,624.11,39
17,O00101,P0097,0,4658.06,25
18,O00111,P0235,0,3612.26,6
19,O00388,P0213,0,4640.47,43
20,O00302,P0064,0,2341.2,37
21,O00490,P0259,0,4822.89,0
22,O00272,P0377,0,2810.81,27
23,O00430,P0300,0,4629.42,49
24,O00472,P0467,0,3489.91,11
25,O00375,P0418,0,607.41,42
26,O00308,P0311,0,2570.14,24
27,O00215,P0312,0,1440.62,21
28,O00497,P0151,0,4043.5,8
29,O00212,P0309,0,1564.67,44
30,O00281,P0441,0,3588.18,35
31,O00324,P0112,4,1127.59,45
32,O00149,P0352,6,4613.84,8
33,O00364,P0333,3,2569.08,44
34,O00327,P0166,2,3827.8,35
35,O00246,P0299,10,4719.1,45
36,O00214,P0346,9,1501.05,27
37,O00414,P0007,9,621.71,24
38,O00075,P0028,1,1079.52,48
39,O00403,P0083,5,3448.61,9
40,O00430,P0032,5,1099.6,34
41,O00017,P0184,8,602.15,43
42,O00379,P0288,4,3737.82,35
43,O00200,P0122,9,3943.11,44
44,O00148,P0355,1,4639.78,24
45,O00214,P0490,6,4832.58,3
46,O00007,P0381,5,1095.13,49
47,O00441,P0446,8,4166.92,40
48,O00361,P0364,6,3800.03,34
49,O00379,P0309,4,3903.12,12
50,O00151,P0230,3,4918.92,4
51,O00096,P0493,3,3701.89,7
52,O00194,P0021,7,1467.65,16
53,O00067,P0083,10,4245.47,0
54,O00170,P0239,3,295.71,20
55,O00306,P0027,10,4231.39,19
56,O00252,P0405,10,2795.78,4
57,O00402,P0363,6,2674.44,11
58,O00267,P0035,9,880.92,34
59,O00275,P0207,2,1812.07,13
60,O00340,P0170,6,1867.91,13
61,O00487,P0386,10,2699.44,35
62,O00422,P0386,1,662.14,22
63,O00229,P0124,10,4601.18,15
64,O00491,P0021,6,1968.73,50
65,O00484,P0059,7,1357.29,46
66,O00145,P0013,9,4128.33,23
67,O00264,P0412,9,2283.23,2
68,O00152,P0460,4,1669.53,5
69,O00486,P0050,3,4860.98,49
70,O00276,P0274,1,3171.97,13
71,O00344,P0323,4,4338.26,27
72,O00428,P0054,4,2735.0,44
73,O00450,P0500,7,3268.15,4
74,O00383,P0352,3,216.39,45
75,O00170,P0020,2,458.92,11
76,O00407,P0129,9,445.17,14
77,O00467,P0133,7,2001.36,40
78,O00208,P0222,6,182.77,43
79,O00061,P0274,1,3242.97,39
80,O00033,P0388,10,323.03,4
81,O00184,P0476,9,620.06,50
82,O00352,P0155,10,523.88,48
83,O00475,P0225,7,2036.05,42
84,O00016,P0243,3,2713.99,8
85,O00383,P0201,9,1545.39,40
86,O00074,P0153,6,4791.22,0
87,O00284,P0448,9,792.73,2
88,O00003,P0294,10,2031.0,35
89,O00485,P0044,5,1129.26,47
90,O00463,P0372,6,1137.51,41
91,O00436,P0263,3,888.68,14
92,O00316,P0428,5,1052.2,11
93,O00344,P0410,10,4276.03,48
94,O00478,P0282,8,3258.91,4
95,O00149,P0344,2,1328.37,12
96,O00372,P0298,8,4762.55,22
