order_id,customer_id,order_date,status,region_code
O00001,UNKNOWN,2025-09-06,SHIPPED,NORTH
O00002,UNKNOWN,2026-01-26,CANCELLED,EAST
O00003,UNKNOWN,2025-01-28,CANCELLED,NORTH
O00004,UNKNOWN,2025-11-22,PLACED,EAST
O00005,UNKNOWN,2024-12-11,RETURNED,SOUTH
O00006,UNKNOWN,,DELIVERED,WEST
O00007,UNKNOWN,2024-08-30,RETURNED,SOUTH
O00008,UNKNOWN,2025-05-08,PLACED,WEST
O00009,UNKNOWN,2025-02-03,DELIVERED,WEST
O00010,UNKNOWN,2025-12-23,PLACED,NORTH
O00011,UNKNOWN,2024-08-02,SHIPPED,EAST
O00012,UNKNOWN,2024-12-02,DELIVERED,WEST
O00013,UNKNOWN,2024-10-08,SHIPPED,WEST
O00014,UNKNOWN,2025-03-04,CANCELLED,NORTH
O00015,UNKNOWN,2026-03-30,CANCELLED,EAST
O00016,UNKNOWN,2025-06-08,DELIVERED,NORTH
O00017,UNKNOWN,2025-05-03,PLACED,NORTH
O00018,UNKNOWN,2026-01-04,DELIVERED,NORTH
O00019,UNKNOWN,2025-06-04,SHIPPED,SOUTH
O00020,UNKNOWN,2025-06-12,SHIPPED,SOUTH
O00021,UNKNOWN,2025-10-31,RETURNED,WEST
O00022,UNKNOWN,2025-01-04,CANCELLED,SOUTH
O00023,UNKNOWN,2025-09-08,CANCELLED,SOUTH
O00024,UNKNOWN,2024-08-13,CANCELLED,WEST
O00025,UNKNOWN,2026-02-25,RETURNED,SOUTH
O00026,C0231,2026-01-30,RETURNED,WEST
O00027,C0200,2024-09-24,PLACED,SOUTH
O00028,C0106,2026-07-16,DELIVERED,NORTH
O00029,C0296,2024-10-11,PLACED,SOUTH
O00030,C0188,2025-10-02,DELIVERED,SOUTH
O00031,C0235,2025-03-10,PLACED,EAST
O00032,C0344,2026-02-17,CANCELLED,EAST
O00033,C0306,2026-05-08,CANCELLED,WEST
O00034,C0301,2025-10-10,PLACED,EAST
O00035,C0181,2026-07-13,CANCELLED,SOUTH
O00036,C0417,2025-10-28,DELIVERED,NORTH
O00037,C0345,2025-04-29,SHIPPED,EAST
O00038,C0061,2025-04-28,SHIPPED,EAST
O00039,C0060,2026-04-27,SHIPPED,EAST
O00040,C0356,2025-03-04,SHIPPED,WEST
O00041,C0215,2025-01-24,RETURNED,SOUTH
O00042,C0295,2025-11-15,CANCELLED,WEST
O00043,C0096,2024-12-31,CANCELLED,SOUTH
O00044,C0285,2025-07-21,SHIPPED,WEST
O00045,C0148,2026-07-25,SHIPPED,SOUTH
O00046,C0162,2025-06-11,CANCELLED,NORTH
O00047,C0444,2025-10-22,DELIVERED,NORTH
O00048,C0249,2024-08-05,SHIPPED,SOUTH
O00049,C0418,2025-02-20,CANCELLED,WEST
O00050,C0210,2024-12-15,CANCELLED,WEST
O00051,C0364,2025-06-14,CANCELLED,WEST
O00052,C0086,2025-08-30,PLACED,NORTH
O00053,C0408,2024-10-23,SHIPPED,EAST
O00054,C0017,2025-10-09,DELIVERED,SOUTH
O00055,C0276,2024-09-27,DELIVERED,SOUTH
O00056,C0400,2025-08-27,CANCELLED,WEST
O00057,C0282,2025-03-18,RETURNED,NORTH
O00058,C0294,2025-04-23,PLACED,EAST
O00059,C0397,2024-10-31,RETURNED,EAST
O00060,C0278,2026-04-17,PLACED,WEST
