product_id,product_name,category,subcategory,cost_price
P0001,Monitor,Electronics,Practice,4300.04
P0002,Python Book,Books,Receive,2328.5
P0003,Shirt,Clothing,Follow,3317.16
P0004,Table,Home,Rule,393.63
P0005,Jeans,Clothing,Pattern,2028.41
P0006,Shirt,Clothing,Claim,933.91
P0007,Shirt,Clothing,Others,1761.15
P0008,Jeans,Clothing,Our,2581.54
P0009,Lamp,Home,His,3558.49
P0010,Mouse,Electronics,System,396.37
P0011,Jacket,Clothing,Four,4247.68
P0012,Jacket,Clothing,Later,2071.54
P0013,Lamp,Home,Concern,680.07
P0014,Lamp,Home,Above,3402.72
P0015,Ai Handbook,Books,Form,2060.07
P0016,Keyboard,Electronics,Employee,2177.95
P0017,Jeans,Clothing,Stock,3394.35
P0018,Lamp,Home,Do,1454.74
P0019,Shirt,Clothing,Seem,3768.13
P0020,Shirt,Clothing,Sister,779.4
P0021,Mouse,Electronics,Put,3075.81
P0022,Monitor,Electronics,Least,3167.34
P0023,Ai Handbook,Books,Factor,2497.17
P0024,Python Book,Books,Though,77.45
P0025,Monitor,Electronics,Here,4030.34
P0026,Chair,Home,Center,4591.48
P0027,Monitor,Electronics,Respond,3354.51
P0028,Jeans,Clothing,Significant,3610.41
P0029,Lamp,Home,Glass,837.83
P0030,Table,Home,Understand,1273.84
P0031,Jacket,Clothing,Media,1234.27
P0032,Chair,Home,Maintain,1210.74
P0033,Jeans,Clothing,Like,448.86
P0034,Python Book,Books,Her,806.39
P0035,Python Book,Books,Stage,1687.86
P0036,Table,Home,Focus,1977.91
P0037,Monitor,Electronics,Message,4716.57
P0038,Jeans,Clothing,Ok,4769.48
P0039,Lamp,Home,Boy,2753.35
P0040,Sql Guide,Books,Continue,2207.39
P0041,Monitor,Electronics,Race,3411.75
P0042,Lamp,Home,Policy,4601.73
P0043,Monitor,Electronics,Beat,3331.85
P0044,Monitor,Electronics,Thought,949.56
P0045,Jeans,Clothing,Fast,2300.76
P0046,Jeans,Clothing,Town,4758.46
P0047,Table,Home,The,2378.02
P0048,Keyboard,Electronics,Challenge,389.66
P0049,Laptop,Electronics,Vote,1036.84
P0050,Mouse,Electronics,Nothing,2394.13
P0051,Mouse,Electronics,Debate,1318.41
P0052,Shirt,Clothing,Everyone,4820.49
P0053,Mouse,Electronics,Similar,585.09
P0054,Keyboard,Electronics,Various,4544.73
P0055,Table,Home,Produce,1031.73
P0056,Python Book,Books,Ball,1542.83
P0057,Laptop,Electronics,Short,2170.47
P0058,Shirt,Clothing,Bag,1739.09
P0059,Table,Home,Wait,3196.15
P0060,Lamp,Home,After,3682.29
P0061,Jacket,Clothing,Time,2713.96
P0062,Table,Home,Movement,3668.58
P0063,Jeans,Clothing,Program,4162.12
P0064,Keyboard,Electronics,Allow,1257.12
P0065,Lamp,Home,Tax,1926.0
P0066,Monitor,Electronics,Party,950.11
P0067,Sql Guide,Books,Particular,1734.68
P0068,Jacket,Clothing,Interview,473.78
P0069,Table,Home,Specific,1239.6
P0070,Lamp,Home,Performance,2268.46
P0071,Laptop,Electronics,Difference,2051.79
P0072,Sql Guide,Books,What,1876.65
P0073,Jeans,Clothing,Although,2774.42
P0074,Jacket,Clothing,Ok,1567.78
P0075,Python Book,Books,Ever,1611.96
